Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
BANG.NS,Bang Overseas Limited
BANKA.NS,Banka BioLoo Limited
BANKBARODA.NS,Bank of Baroda
BANKINDIA.NS,Bank of India Limited
BANSWRAS.NS,Banswara Syntex Limited
BARBEQUE.NS,Barbeque Nation Hospitality Ltd.
BARTRONICS.NS,Bartronics India Limited
BASF.NS,BASF India Limited
BASML.NS,Bannari Amman Spinning Mills Ltd
BASML-RE.NS,
BATAINDIA.NS,Bata India Limited
BAYERCROP.NS,Bayer CropScience Limited
BBL.NS,Bharat Bijlee Limited
BBTC.NS,"The Bombay Burmah Trading Corporation, Limited"
BCG.NS,Brightcom Group Limited
BCLIND.NS,BCL Industries Limited
BCP.NS,B.C. Power Controls Limited
BDL.NS,Bharat Dynamics Limited
BEARDSELL.NS,Beardsell Limited
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited
BEDMUTHA.NS,Bedmutha Industries Limited
BEL.NS,Bharat Electronics Limited
BEML.NS,BEML Limited
BEPL.NS,Bhansali Engineering Polymers Limited
BERGEPAINT.NS,Berger Paints India Limited
BESTAGRO.NS,Best Agrolife Limited
BFINVEST.NS,BF Investment Limited
BFUTILITIE.NS,BF Utilities Limited
BGLOBAL.NS,Bharatiya Global Infomedia Limited
BGRENERGY.NS,BGR Energy Systems Limited
BHAGERIA.NS,Bhageria Industries Limited
BHAGYANGR.NS,Bhagyanagar India Limited
BHAGYAPROP.NS,Bhagyanagar Properties Limited
BHANDARI.NS,Bhandari Hosiery Exports Limited
BHARATFORG.NS,Bharat Forge Limited
BHARATGEAR.NS,Bharat Gears Limited
BHARATRAS.NS,Bharat Rasayan Limited
BHARATWIRE.NS,Bharat Wire Ropes Limited
BHARTIARTL.NS,Bharti Airtel Limited
BHEL.NS,Bharat Heavy Electricals Limited
BIGBLOC.NS,Bigbloc Construction Limited
BIL.NS,Bhartiya International Ltd.
BILENERGY.NS,Bil Energy Systems Limited
BINDALAGRO.NS,Oswal Greentech Limited
BIOCON.NS,Biocon Limited
BIOFILCHEM.NS,Biofil Chemicals and Pharmaceuticals Limited
BIRET.NS,
BIRLACABLE.NS,Birla Cable Limited
BIRLACORPN.NS,Birla Corporation Limited
BIRLAMONEY.NS,Aditya Birla Money Limited
BIRLATYRE.NS,Birla Tyres Limited
BKMINDST.NS,BKM Industries Limited
BLBLIMITED.NS,BLB Limited
BLISSGVS.NS,Bliss GVS Pharma Limited
BLKASHYAP.NS,B.L. Kashyap and Sons Limited
BLS.NS,BLS International Services Limited
BLUECHIP.NS,Blue Chip India Limited
BLUEDART.NS,Blue Dart Express Limited
BLUESTARCO.NS,Blue Star Limited
BODALCHEM.NS,Bodal Chemicals Limited
BOMDYEING.NS,The Bombay Dyeing and Manufacturing Company Limited
BOROLTD.NS,Borosil Limited
BORORENEW.NS,Borosil Renewables Limited
BOSCHLTD.NS,Bosch Limited
BPCL.NS,Bharat Petroleum Corporation Limited
BPL.NS,BPL Limited
BRFL.NS,Bombay Rayon Fashions Limited
BRIGADE.NS,Brigade Enterprises Limited
BRITANNIA.NS,Britannia Industries Limited
BRNL.NS,Bharat Road Network Limited
BROOKS.NS,Brooks Laboratories Limited
BSE.NS,BSE Limited
BSELINFRA.NS,BSEL Infrastructure Realty Limited
BSHSL.NS,Bombay Super Hybrid Seeds Limited
BSL.NS,BSL Limited
BSOFT.NS,Birlasoft Limited
BURGERKING.NS,Burger King India Limited
BURNPUR.NS,Burnpur Cement Limited
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
BVCL.NS,Barak Valley Cements Limited
BYKE.NS,The Byke Hospitality Limited
CADILAHC.NS,Cadila Healthcare Limited
CALSOFT.NS,California Software Company Limited
CAMLINFINE.NS,Camlin Fine Sciences Limited
CAMS.NS,Computer Age Management Services Limited
CANBK.NS,Canara Bank
CANDC.NS,C & C Constructions Limited
CANFINHOME.NS,Can Fin Homes Limited
CANTABIL.NS,Cantabil Retail India Limited
CAPACITE.NS,Capacit'e Infraprojects Limited
CAPLIPOINT.NS,Caplin Point Laboratories Limited
CAPTRUST.NS,Capital Trust Limited
CARBORUNIV.NS,Carborundum Universal Limited
CAREERP.NS,Career Point Limited
CARERATING.NS,CARE Ratings Limited
CARTRADE.NS,CarTrade Tech Limited
CASTEXTECH.NS,Castex Technologies Limited
CASTROLIND.NS,Castrol India Limited
CCCL.NS,Consolidated Construction Consortium Limited
CCHHL.NS,Country Club Hospitality & Holidays Limited
CCL.NS,CCL Products (India) Limited
CDSL.NS,Central Depository Services (India) Limited
CEATLTD.NS,CEAT Limited
CEBBCO.NS,Commercial Engineers & Body Builders Co Limited
CELEBRITY.NS,Celebrity Fashions Limited
CENTENKA.NS,Century Enka Limited
CENTEXT.NS,Century Extrusions Limited
CENTRALBK.NS,Central Bank of India
CENTRUM.NS,Centrum Capital Limited
CENTUM.NS,Centum Electronics Limited
CENTURYPLY.NS,Century Plyboards (India) Limited
CENTURYTEX.NS,Century Textiles and Industries Limited
CERA.NS,Cera Sanitaryware Limited
CEREBRAINT.NS,Cerebra Integrated Technologies Limited
CESC.NS,CESC Limited
CGCL.NS,Capri Global Capital Limited
CGPOWER.NS,CG Power and Industrial Solutions Limited
CHALET.NS,Chalet Hotels Limited
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited
CHEMBOND.NS,Chembond Chemicals Limited
CHEMCON.NS,Chemcon Speciality Chemicals Limited
CHEMFAB.NS,Chemfab Alkalis Limited
CHEMPLASTS.NS,Chemplast Sanmar Limited
CHENNPETRO.NS,Chennai Petroleum Corporation Limited
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited
CHROMATIC.NS,Chromatic India Limited
CIGNITITEC.NS,Cigniti Technologies Limited
CINELINE.NS,Cineline India Limited
CINEVISTA.NS,Cinevista Limited
