,Symbol,Name
7350,AUSOMENT.NS,Ausom Enterprise Limited
7351,AUTOAXLES.NS,Automotive Axles Limited
7352,AUTOIND.NS,Autoline Industries Limited
7353,AUTOLITIND.NS,Autolite (India) Limited
7354,AVADHSUGAR.NS,Avadh Sugar & Energy Limited
7355,AVANTIFEED.NS,Avanti Feeds Limited
7356,AVTNPL.NS,AVT Natural Products Limited
7357,AWHCL.NS,Antony Waste Handling Cell Limited
7358,AXISBANK.NS,Axis Bank Limited
7359,AXISCADES.NS,Axiscades Technologies Limited
7360,AYMSYNTEX.NS,AYM Syntex Limited
7361,BAFNAPH.NS,Bafna Pharmaceuticals Limited
7362,BAGFILMS.NS,B.A.G. Films and Media Limited
7363,BAJAJ-AUTO.NS,Bajaj Auto Limited
7364,BAJAJCON.NS,Bajaj Consumer Care Limited
7365,BAJAJELEC.NS,Bajaj Electricals Limited
7366,BAJAJFINSV.NS,Bajaj Finserv Ltd.
7367,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
7368,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
7369,BAJFINANCE.NS,Bajaj Finance Limited
7370,BALAJITELE.NS,Balaji Telefilms Limited
7371,BALAMINES.NS,Balaji Amines Limited
7372,BALAXI.NS,Balaxi Pharmaceuticals Limited
7373,BALKRISHNA.NS,Balkrishna Paper Mills Limited
7374,BALKRISIND.NS,Balkrishna Industries Limited
7375,BALLARPUR.NS,Ballarpur Industries Limited
7376,BALMLAWRIE.NS,Balmer Lawrie & Co. Ltd.
7377,BALPHARMA.NS,Bal Pharma Limited
7378,BALRAMCHIN.NS,Balrampur Chini Mills Limited
7379,BANARBEADS.NS,Banaras Beads Limited
7380,BANARISUG.NS,Bannari Amman Sugars Limited
7381,BANCOINDIA.NS,Banco Products (India) Limited
7382,BANDHANBNK.NS,Bandhan Bank Limited
7383,BANG.NS,Bang Overseas Limited
7384,BANKA.NS,Banka BioLoo Limited
7385,BANKBARODA.NS,Bank of Baroda
7386,BANKINDIA.NS,Bank of India Limited
7387,BANSWRAS.NS,Banswara Syntex Limited
7388,BARBEQUE.NS,Barbeque Nation Hospitality Ltd.
7389,BARTRONICS.NS,Bartronics India Limited
7390,BASF.NS,BASF India Limited
7391,BASML.NS,Bannari Amman Spinning Mills Ltd
7392,BASML-RE.NS,
7393,BATAINDIA.NS,Bata India Limited
7394,BAYERCROP.NS,Bayer CropScience Limited
7395,BBL.NS,Bharat Bijlee Limited
7396,BBTC.NS,"The Bombay Burmah Trading Corporation, Limited"
7397,BCG.NS,Brightcom Group Limited
7398,BCLIND.NS,BCL Industries Limited
7399,BCP.NS,B.C. Power Controls Limited
7400,BDL.NS,Bharat Dynamics Limited
7401,BEARDSELL.NS,Beardsell Limited
7402,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited
7403,BEDMUTHA.NS,Bedmutha Industries Limited
7404,BEL.NS,Bharat Electronics Limited
7405,BEML.NS,BEML Limited
7406,BEPL.NS,Bhansali Engineering Polymers Limited
7407,BERGEPAINT.NS,Berger Paints India Limited
7408,BESTAGRO.NS,Best Agrolife Limited
7409,BFINVEST.NS,BF Investment Limited
7410,BFUTILITIE.NS,BF Utilities Limited
7411,BGLOBAL.NS,Bharatiya Global Infomedia Limited
7412,BGRENERGY.NS,BGR Energy Systems Limited
7413,BHAGERIA.NS,Bhageria Industries Limited
7414,BHAGYANGR.NS,Bhagyanagar India Limited
7415,BHAGYAPROP.NS,Bhagyanagar Properties Limited
7416,BHANDARI.NS,Bhandari Hosiery Exports Limited
7417,BHARATFORG.NS,Bharat Forge Limited
7418,BHARATGEAR.NS,Bharat Gears Limited
7419,BHARATRAS.NS,Bharat Rasayan Limited
7420,BHARATWIRE.NS,Bharat Wire Ropes Limited
7421,BHARTIARTL.NS,Bharti Airtel Limited
7422,BHEL.NS,Bharat Heavy Electricals Limited
7423,BIGBLOC.NS,Bigbloc Construction Limited
7424,BIL.NS,Bhartiya International Ltd.
7425,BILENERGY.NS,Bil Energy Systems Limited
7426,BINDALAGRO.NS,Oswal Greentech Limited
7427,BIOCON.NS,Biocon Limited
7428,BIOFILCHEM.NS,Biofil Chemicals and Pharmaceuticals Limited
7429,BIRET.NS,
7430,BIRLACABLE.NS,Birla Cable Limited
7431,BIRLACORPN.NS,Birla Corporation Limited
7432,BIRLAMONEY.NS,Aditya Birla Money Limited
7433,BIRLATYRE.NS,Birla Tyres Limited
7434,BKMINDST.NS,BKM Industries Limited
7435,BLBLIMITED.NS,BLB Limited
7436,BLISSGVS.NS,Bliss GVS Pharma Limited
7437,BLKASHYAP.NS,B.L. Kashyap and Sons Limited
7438,BLS.NS,BLS International Services Limited
7439,BLUECHIP.NS,Blue Chip India Limited
7440,BLUEDART.NS,Blue Dart Express Limited
7441,BLUESTARCO.NS,Blue Star Limited
7442,BODALCHEM.NS,Bodal Chemicals Limited
7443,BOMDYEING.NS,The Bombay Dyeing and Manufacturing Company Limited
7444,BOROLTD.NS,Borosil Limited
7445,BORORENEW.NS,Borosil Renewables Limited
7446,BOSCHLTD.NS,Bosch Limited
7447,BPCL.NS,Bharat Petroleum Corporation Limited
7448,BPL.NS,BPL Limited
7449,BRFL.NS,Bombay Rayon Fashions Limited
7450,BRIGADE.NS,Brigade Enterprises Limited
7451,BRITANNIA.NS,Britannia Industries Limited
7452,BRNL.NS,Bharat Road Network Limited
7453,BROOKS.NS,Brooks Laboratories Limited
7454,BSE.NS,BSE Limited
7455,BSELINFRA.NS,BSEL Infrastructure Realty Limited
7456,BSHSL.NS,Bombay Super Hybrid Seeds Limited
7457,BSL.NS,BSL Limited
7458,BSOFT.NS,Birlasoft Limited
7459,BURGERKING.NS,Burger King India Limited
7460,BURNPUR.NS,Burnpur Cement Limited
7461,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
7462,BVCL.NS,Barak Valley Cements Limited
7463,BYKE.NS,The Byke Hospitality Limited
7464,CADILAHC.NS,Cadila Healthcare Limited
7465,CALSOFT.NS,California Software Company Limited
7466,CAMLINFINE.NS,Camlin Fine Sciences Limited
7467,CAMS.NS,Computer Age Management Services Limited
7468,CANBK.NS,Canara Bank
7469,CANDC.NS,C & C Constructions Limited
7470,CANFINHOME.NS,Can Fin Homes Limited
7471,CANTABIL.NS,Cantabil Retail India Limited
7472,CAPACITE.NS,Capacit'e Infraprojects Limited
7473,CAPLIPOINT.NS,Caplin Point Laboratories Limited
7474,CAPTRUST.NS,Capital Trust Limited
7475,CARBORUNIV.NS,Carborundum Universal Limited
7476,CAREERP.NS,Career Point Limited
7477,CARERATING.NS,CARE Ratings Limited
7478,CARTRADE.NS,CarTrade Tech Limited
7479,CASTEXTECH.NS,Castex Technologies Limited
7480,CASTROLIND.NS,Castrol India Limited
7481,CCCL.NS,Consolidated Construction Consortium Limited
7482,CCHHL.NS,Country Club Hospitality & Holidays Limited
7483,CCL.NS,CCL Products (India) Limited
7484,CDSL.NS,Central Depository Services (India) Limited
7485,CEATLTD.NS,CEAT Limited
7486,CEBBCO.NS,Commercial Engineers & Body Builders Co Limited
7487,CELEBRITY.NS,Celebrity Fashions Limited
7488,CENTENKA.NS,Century Enka Limited
7489,CENTEXT.NS,Century Extrusions Limited
7490,CENTRALBK.NS,Central Bank of India
7491,CENTRUM.NS,Centrum Capital Limited
7492,CENTUM.NS,Centum Electronics Limited
7493,CENTURYPLY.NS,Century Plyboards (India) Limited
7494,CENTURYTEX.NS,Century Textiles and Industries Limited
7495,CERA.NS,Cera Sanitaryware Limited
7496,CEREBRAINT.NS,Cerebra Integrated Technologies Limited
7497,CESC.NS,CESC Limited
7498,CGCL.NS,Capri Global Capital Limited
7499,CGPOWER.NS,CG Power and Industrial Solutions Limited
7500,CHALET.NS,Chalet Hotels Limited
7501,CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited
7502,CHEMBOND.NS,Chembond Chemicals Limited
7503,CHEMCON.NS,Chemcon Speciality Chemicals Limited
7504,CHEMFAB.NS,Chemfab Alkalis Limited
7505,CHEMPLASTS.NS,Chemplast Sanmar Limited
7506,CHENNPETRO.NS,Chennai Petroleum Corporation Limited
7507,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
7508,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited
7509,CHROMATIC.NS,Chromatic India Limited
7510,CIGNITITEC.NS,Cigniti Technologies Limited
7511,CINELINE.NS,Cineline India Limited
7512,CINEVISTA.NS,Cinevista Limited
7513,CIPLA.NS,Cipla Limited
7514,CKFSL.NS,Cox and Kings Financial Service Limited
7515,CLEAN.NS,Clean Science and Technology Limited
7516,CLEDUCATE.NS,CL Educate Limited
7517,CLNINDIA.NS,Clariant Chemicals (India) Limited
7518,CLSEL.NS,
7519,CMICABLES.NS,CMI Limited
7520,CMSINFO.NS,CMS Info Systems Limited
7521,CNOVAPETRO.NS,CIL Nova Petrochemicals Limited
7522,COALINDIA.NS,Coal India Limited
7523,COCHINSHIP.NS,Cochin Shipyard Limited
7524,COFFEEDAY.NS,Coffee Day Enterprises Limited
7525,COFORGE.NS,Coforge Limited
7526,COLPAL.NS,Colgate-Palmolive (India) Limited
7527,COMPINFO.NS,Compuage Infocom Limited
7528,COMPUSOFT.NS,Compucom Software Limited
7529,CONCOR.NS,Container Corporation of India Limited
7530,CONFIPET.NS,Confidence Petroleum India Limited
7531,CONSOFINVT.NS,Consolidated Finvest & Holdings Limited
7532,CONTROLPR.NS,Control Print Limited
7533,CORALFINAC.NS,Coral India Finance and Housing Limited
7534,CORDSCABLE.NS,Cords Cable Industries Limited
7535,COROMANDEL.NS,Coromandel International Limited
7536,COSMOFILMS.NS,Cosmo Films Limited
7537,COUNCODOS.NS,Country Condo's Limited
7538,COX&KINGS.NS,Cox & Kings Limited
7539,CRAFTSMAN.NS,Craftsman Automation Limited
7540,CREATIVE.NS,Creative Newtech Limited
7541,CREATIVEYE.NS,Creative Eye Limited
7542,CREDITACC.NS,CreditAccess Grameen Limited
7543,CREST.NS,Crest Ventures Limited
7544,CRISIL.NS,CRISIL Limited
7545,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited
7546,CSBBANK.NS,CSB Bank Limited
7547,CTE.NS,Cambridge Technology Enterprises Limited
7548,CUB.NS,City Union Bank Limited
7549,CUBEXTUB.NS,Cubex Tubings Limited
7550,CUMMINSIND.NS,Cummins India Limited
